,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
14,racisme,2.09,(race)>isme>,"(0, 1, 1)",4,43.53,4,75,91,100.85,4,15.3846153846153,2
17,stagiaire,3.29,(stage)>aire>,"(0, 1, 1)",2,8.16,5,50,179,853.76,4,31.2849162011173,2
23,abattage,0.63,(abattre)>age>,"(0, 1, 1)",3,3.95,7,33.3333333333333,201,707.48,3,54.228855721393,2
24,abattement,0.17,(abattre)>ment>,"(0, 1, 1)",3,3.95,7,66.6666666666666,919,5042.80999999999,4,71.70837867247,2
25,abattoir,3.15,(abattre)>oir>,"(0, 1, 1)",3,3.95,7,0,28,113.06,3,28.5714285714285,2
27,abbaye,3.66,(abbé)>aye>,"(0, 1, 1)",2,7.87,4,50,1,3.66,3,0,2
35,aberrations,1.16,(aberr)>ion>,"(0, 1, 1)",2,1.74,5,0,766,3498.54,3,55.2219321148825,2
38,ablations,0.459999999999999,(ablat)>ion>,"(0, 1, 1)",1,0.459999999999999,5,0,766,3498.54,3,74.8041775456919,2
39,ablutions,0.47,(ablut)>ion>,"(0, 1, 1)",1,0.47,5,0,766,3498.54,3,74.0208877284595,2
40,aboiements,1.35,(aboyer)>ment>,"(0, 1, 1)",2,4.26,6,50,919,5042.80999999999,4,34.4940152339499,2
42,abominables,5.4,(abominer)>able>,"(0, 1, 1)",3,7.33,8,0,313,1042.69,4,11.8210862619808,2
43,abominations,1.93,(abominer)>ion>,"(0, 1, 1)",3,7.33,8,33.3333333333333,766,3498.54,3,42.9503916449086,2
44,abondante,1.33,(abonder)>ant/ent>,"(0, 1, 1)",5,4.59,7,20,522,3302.43999999999,7,41.1877394636015,2
50,aboyeurs,0.01,(aboi)>eur>,"(0, 1, 1)",4,4.14,4,75,501,2127.06,3,90.4191616766467,2
58,absence,22.86,(absent)>nce>,"(0, 1, 1)",3,45.23,6,0,213,1491.29,3,9.38967136150234,2
67,absorbante,0.04,(absorber)>ant/ent>,"(0, 1, 1)",3,6.57,8,66.6666666666666,522,3302.43999999999,7,85.4406130268199,2
73,abstractions,0.69,(abstrait)>ion>,"(0, 1, 1)",2,3.05,8,50,766,3498.54,3,66.710182767624,2
83,académiques,1.41,(académie)>ique>,"(0, 1, 1)",2,11.44,8,50,281,852.449999999999,4,39.5017793594306,2
86,accablante,1.13,(accabler)>ant/ent>,"(0, 1, 1)",3,7.05,8,33.3333333333333,522,3302.43999999999,7,43.4865900383141,2
124,acuité,0.56,(acu)>ité>,"(0, 1, 1)",2,0.67,3,0,334,1491.88,3,62.8742514970059,2
132,adjacent,0.16,(adjac)>ant/ent>,"(0, 1, 1)",1,0.16,5,0,522,3302.43999999999,7,75.4789272030651,2
163,agences,23.4,(agir)>nce>,"(0, 1, 1)",9,263.19,4,33.3333333333333,213,1491.29,3,8.92018779342723,2
164,agenda,5.69,(agir)>enda>,"(0, 1, 1)",9,263.19,4,44.4444444444444,1,5.69,4,0,2
165,agent,117.42,(agir)>ant/ent>,"(0, 1, 1)",9,263.19,4,0,522,3302.43999999999,7,1.14942528735632,2
168,agile,2.16,(agir)>il>,"(0, 1, 1)",9,263.19,4,55.5555555555555,14,12.29,2,7.14285714285714,2
193,aimants,38.82,(aimer)>ant/ent>,"(0, 1, 1)",7,1744.53,5,14.2857142857142,522,3302.43999999999,7,3.44827586206896,2
246,altercation,1.12,(altercat)>ion>,"(0, 1, 1)",1,1.12,8,0,766,3498.54,3,56.1357702349869,2
247,aluminium,2.38,(alumin)>ium>,"(0, 1, 1)",1,2.38,6,0,4,6.47999999999999,3,0,2
253,amateur,16.4,(aimer)>eur>,"(0, 1, 1)",7,1744.53,5,42.8571428571428,501,2127.06,3,5.78842315369261,2
258,ambiance,12.33,(ambiant)>nce>,"(0, 1, 1)",2,13.03,7,0,213,1491.29,3,15.4929577464788,2
277,amical,9.95999999999999,(ami)>al>,"(0, 1, 1)",5,862.56,3,40,200,1125.04,2,12,2
286,amitié,36.69,(ami)>é>,"(0, 1, 1)",5,862.56,3,20,57,846.24,1,8.7719298245614,2
297,anal,1.43,(anus)>al>,"(0, 1, 1)",2,3.05999999999999,4,50,200,1125.04,2,43,2
329,annales,0.78,(an)>al>,"(0, 1, 1)",7,1293.42,2,85.7142857142857,200,1125.04,2,53.5,2
332,années,316.25,(an)>é>,"(0, 1, 1)",7,1293.42,2,14.2857142857142,57,846.24,1,0,2
335,annuaire,4.43,(an)>aire>,"(0, 1, 1)",7,1293.42,2,57.1428571428571,179,853.76,4,21.7877094972067,2
349,antérieur,3.82,(antér)>eur>,"(0, 1, 1)",2,4.18,5,0,501,2127.06,3,20.3592814371257,2
377,appartement,76.33,(appart)>ment>,"(0, 1, 1)",2,76.92,6,0,919,5042.80999999999,4,0.979325353645266,2
388,apprenti,1.96,(apprendre)>i>,"(0, 1, 1)",5,352.949999999999,9,20,2,9.2,1,50,2
389,apprentis,0.31,(apprendre)>is>,"(0, 1, 1)",5,352.949999999999,9,60,22,19.93,2,59.090909090909,2
397,aquarelle,0.23,(aqua)>elle>,"(0, 1, 1)",4,4.74,4,50,13,16.5,4,69.2307692307692,2
399,aquarium,3.94,(aqua)>rium>,"(0, 1, 1)",4,4.74,4,0,1,3.94,4,0,2
404,arabesques,0.02,(arabe)>esque>,"(0, 1, 1)",2,23.3,5,50,6,5.77,5,50,2
413,arcade,1.26,(arc)>ade>,"(0, 1, 1)",4,6.67,3,25,43,65.47,3,23.2558139534883,2
415,arceaux,0.03,(arc)>eau>,"(0, 1, 1)",4,6.67,3,75,29,436.9,3,93.103448275862,2
417,archer,3.77,(arche)>er>,"(0, 1, 1)",11,19.21,5,9.09090909090909,37,316.04,2,35.1351351351351,2
