,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
684,baluchon,0.87,(balle)>uch>>on>,"(0, 1, 2)",12,185.73,5,66.6666666666666,1,0.87,3,0,109,331.19,2,54.1284403669724,3
704,bandoulière,0.12,(bande)>oul>>ère>,"(0, 1, 2)",8,96.2699999999999,5,87.5,1,0.12,3,0,49,86.54,3,83.6734693877551,3
1235,canasson,0.58,(canard)>asse>>on>,"(0, 1, 2)",4,23.81,6,50,14,39.9,4,57.1428571428571,109,331.19,2,62.3853211009174,3
3267,festival,7.51,(fête)>if>>al>,"(0, 1, 2)",7,204.22,4,14.2857142857142,168,409.409999999999,2,11.3095238095238,200,1125.04,2,15,3
3268,festivités,1.19,(fête)>if>>ités>,"(0, 1, 2)",7,204.22,4,42.8571428571428,168,409.409999999999,2,42.8571428571428,60,83.33,4,25,3
3416,fortifications,0.46,(fort)>ifier>>ion>,"(0, 1, 2)",9,317.229999999999,4,66.6666666666666,27,49.0699999999999,5,40.7407407407407,766,3498.54,3,74.5430809399477,3
4355,jouvencelles,0,(jeune)>nce>>eau>,"(0, 1, 2)",7,387.08,5,85.7142857142857,213,1491.29,3,96.244131455399,29,436.9,3,96.551724137931,3
4552,librairies,5.97,(livre)>aire>>ie>,"(0, 1, 2)",3,95.21,5,33.3333333333333,179,853.76,4,16.7597765363128,59,435.78,2,13.5593220338983,3
4630,longévité,0.71,(long)>ève>>ité>,"(0, 1, 2)",13,547.88,4,61.5384615384615,1,0.71,3,0,334,1491.88,3,56.8862275449101,3
5979,pendentif,1,(pendre)>ant/ent>>if>,"(0, 1, 2)",9,374.139999999999,6,66.6666666666666,522,3302.43999999999,7,46.551724137931,168,409.409999999999,2,47.0238095238095,3
6190,plaidoirie,1.27,(plaider)>oy[VB]>>erie>,"(0, 1, 2)",1,1.27,7,0,10,56.23,5,30,109,267.479999999999,4,31.1926605504587,3
6592,propriétaire,37.2699999999999,(propri)>ité>>aire>,"(0, 1, 2)",3,60.08,6,0,334,1491.88,3,1.79640718562874,179,853.76,4,2.23463687150837,3
6612,protectorat,0.18,(protéger)>eur>>at>,"(0, 1, 2)",5,169.28,8,60,501,2127.06,3,74.4510978043912,36,166.91,2,77.7777777777777,3
6675,psychiatrie,3.59,(psycho)>iatr>>ie>,"(0, 1, 2)",19,70.56,6,31.578947368421,2,11.27,4,50,59,435.78,2,33.8983050847457,3
6691,puanteur,3.44,(pu)>ant/ent>>eur>,"(0, 1, 2)",3,373.94,2,66.6666666666666,522,3302.43999999999,7,24.5210727969348,501,2127.06,3,23.5528942115768,3
6760,puritanisme,0.05,(pur)>ain>>isme>,"(0, 1, 2)",10,77.95,3,80,31,805.679999999999,3,87.0967741935483,91,100.85,4,79.1208791208791,3
6770,putréfaction,0.49,(pourrir)>éfact>>ion>,"(0, 1, 2)",5,150.2,7,20,1,0.49,5,0,766,3498.54,3,73.4986945169712,3
6786,qualifications,1.78,(qualité)>ifier>>ion>,"(0, 1, 2)",4,40.7399999999999,7,50,27,49.0699999999999,5,25.9259259259259,766,3498.54,3,44.7780678851174,3
6895,radicalisme,0.02,(radic)>al>>isme>,"(0, 1, 2)",4,7.98999999999999,5,75,200,1125.04,2,90.5,91,100.85,4,83.5164835164835,3
6961,ramifications,0.45,(rame)>ifier>>ion>,"(0, 1, 2)",8,12.0799999999999,4,50,27,49.0699999999999,5,44.4444444444444,766,3498.54,3,74.9347258485639,3
7020,ratification,0.28,(rat)>ifier>>ion>,"(0, 1, 2)",6,47.6699999999999,3,33.3333333333333,27,49.0699999999999,5,51.8518518518518,766,3498.54,3,81.8537859007833,3
7059,réalisateur,16.46,(réel)>is[VB]>>eur>,"(0, 1, 2)",14,213.84,4,28.5714285714285,126,424.71,5,2.38095238095238,501,2127.06,3,5.58882235528942,3
7061,réalisation,2.86,(réel)>is[VB]>>ion>,"(0, 1, 2)",14,213.84,4,50,126,424.71,5,15.079365079365,766,3498.54,3,33.6814621409921,3
7095,réceptionniste,1.64,(recevoir)>ion>>iste>,"(0, 1, 2)",8,237.339999999999,8,37.5,766,3498.54,3,46.4751958224543,119,322.749999999999,4,26.0504201680672,3
7361,réglementaires,0.9,(règle)>ment>>aire>,"(0, 1, 2)",14,215.01,5,50,919,5042.80999999999,4,44.1784548422198,179,853.76,4,62.0111731843575,3
7369,régularité,0.55,(règle)>ier>>ité>,"(0, 1, 2)",14,215.01,5,71.4285714285714,181,847.1,3,62.4309392265193,334,1491.88,3,63.4730538922155,3
7412,relativité,0.5,(relation)>if>>ité>,"(0, 1, 2)",4,83.06,8,75,168,409.409999999999,2,55.9523809523809,334,1491.88,3,65.2694610778443,3
7761,respectabilité,1.22,(respect)>able>>ité>,"(0, 1, 2)",9,132.67,7,44.4444444444444,313,1042.69,4,41.2140575079872,334,1491.88,3,42.5149700598802,3
7900,révérencieuse,0,(révérer)>nce>>eux>,"(0, 1, 2)",4,15.17,7,75,213,1491.29,3,96.244131455399,271,1027.7,3,93.7269372693726,3
7958,révolutionnaires,4.22,(révol)>ion>>aire>,"(0, 1, 2)",2,29.23,5,50,766,3498.54,3,24.9347258485639,179,853.76,4,24.022346368715,3
8066,rocailleuse,0.17,(roc)>aille>>eux>,"(0, 1, 2)",3,3.91,3,33.3333333333333,23,42.56,5,69.5652173913043,271,1027.7,3,71.5867158671586,3
8097,romanisation,0,(roman)>is[VB]>>ion>,"(0, 1, 2)",4,27.58,5,75,126,424.71,5,87.3015873015873,766,3498.54,3,96.6057441253263,3
8131,rondouillards,0.03,(rond)>ouille>>ard>,"(0, 1, 2)",8,44.65,4,87.5,7,0.43,6,28.5714285714285,52,113.07,3,82.6923076923077,3
8166,rougeoiement,0.03,(rouge)>oy[VB]>>ment>,"(0, 1, 2)",11,151.989999999999,5,81.8181818181818,10,56.23,5,80,919,5042.80999999999,4,86.7247007616974,3
8173,rougissante,0.19,(rouge)>[VB]>>ant/ent>,"(0, 1, 2)",11,151.989999999999,5,54.5454545454545,1600,25208.9699999999,2,69.8125,522,3302.43999999999,7,73.3716475095785,3
8174,rougissement,0.03,(rouge)>[VB]>>ment>,"(0, 1, 2)",11,151.989999999999,5,81.8181818181818,1600,25208.9699999999,2,81.625,919,5042.80999999999,4,86.7247007616974,3
8250,russification,0,(russe)>ifier>>ion>,"(0, 1, 2)",2,67.71,5,50,27,49.0699999999999,5,81.4814814814814,766,3498.54,3,96.6057441253263,3
8283,sacrifice,23.11,(sacre)>ifi[VB]>>ice>,"(0, 1, 2)",10,158.69,5,10,33,315.52,6,9.09090909090909,17,312.58,3,11.7647058823529,3
8387,sanguinolente,0.07,(sang)>in>>ant/ent>,"(0, 1, 2)",9,354.92,4,88.8888888888888,30,109.48,2,76.6666666666666,522,3302.43999999999,7,81.2260536398467,3
8427,saucissonnages,0,(saucisse)>on>>age>,"(0, 1, 2)",3,17.99,8,66.6666666666666,109,331.19,2,92.6605504587155,201,707.48,3,91.5422885572139,3
8452,sautillante,0.06,(saut)>iller>>ant/ent>,"(0, 1, 2)",10,154.47,4,70,6,3.80999999999999,5,50,522,3302.43999999999,7,82.375478927203,3
8508,scénariste,2.7,(scène)>ario>>iste>,"(0, 1, 2)",6,129.849999999999,5,33.3333333333333,3,21.85,4,33.3333333333333,119,322.749999999999,4,16.8067226890756,3
8534,scolarité,1.61,(scol)>aire>>ité>,"(0, 1, 2)",3,8.73999999999999,4,33.3333333333333,179,853.76,4,51.9553072625698,334,1491.88,3,36.8263473053892,3
8535,scolarités,0.02,(scol)>aire>>ités>,"(0, 1, 2)",3,8.73999999999999,4,66.6666666666666,179,853.76,4,93.2960893854748,60,83.33,4,80,3
8638,sensationnelle,5.16,(sentir)>ion>>el>,"(0, 1, 2)",28,914.42,6,35.7142857142857,766,3498.54,3,20.88772845953,153,1103.39999999999,2,22.2222222222222,3
8643,sensibilité,5.72,(sentir)>able>>ité>,"(0, 1, 2)",28,914.42,6,32.1428571428571,313,1042.69,4,10.8626198083067,334,1491.88,3,12.8742514970059,3
8647,sensorialité,0,(sensor)>el>>ité>,"(0, 1, 2)",2,0.1,6,50,153,1103.39999999999,2,90.8496732026143,334,1491.88,3,94.6107784431137,3
8649,sensualité,1.14,(sentir)>el>>ité>,"(0, 1, 2)",28,914.42,6,57.1428571428571,153,1103.39999999999,2,49.0196078431372,334,1491.88,3,43.4131736526946,3
8650,sensualités,0,(sentir)>el>>ités>,"(0, 1, 2)",28,914.42,6,96.4285714285714,153,1103.39999999999,2,90.8496732026143,60,83.33,4,83.3333333333333,3
8669,sentimentale,9.53,(sentir)>ment>>al>,"(0, 1, 2)",28,914.42,6,21.4285714285714,919,5042.80999999999,4,9.03155603917301,200,1125.04,2,13.5,3
8766,servilité,0.01,(servir)>il>>ité>,"(0, 1, 2)",13,549.12,6,84.6153846153846,14,12.29,2,78.5714285714285,334,1491.88,3,91.6167664670658,3
8767,servilités,0,(servir)>il>>ités>,"(0, 1, 2)",13,549.12,6,92.3076923076923,14,12.29,2,92.8571428571428,60,83.33,4,83.3333333333333,3
8802,sexualité,6.02,(sexe)>el>>ité>,"(0, 1, 2)",13,124.35,4,23.076923076923,153,1103.39999999999,2,20.9150326797385,334,1491.88,3,12.2754491017964,3
8832,signalisation,0.41,(signal)>is[VB]>>ion>,"(0, 1, 2)",3,43.4,6,66.6666666666666,126,424.71,5,41.2698412698412,766,3498.54,3,76.2402088772846,3
8837,signification,5.78,(signe)>ifier>>ion>,"(0, 1, 2)",11,306.679999999999,5,45.4545454545454,27,49.0699999999999,5,7.4074074074074,766,3498.54,3,18.929503916449,3
8839,significative,1.48,(signe)>ifier>>if>,"(0, 1, 2)",11,306.679999999999,5,63.6363636363636,27,49.0699999999999,5,29.6296296296296,168,409.409999999999,2,39.2857142857142,3
8877,sinuosités,0,(sinuer)>eux>>ités>,"(0, 1, 2)",3,0.649999999999999,6,33.3333333333333,271,1027.7,3,93.7269372693726,60,83.33,4,83.3333333333333,3
8915,socialisme,4.9,(socio)>al>>isme>,"(0, 1, 2)",14,177.549999999999,5,35.7142857142857,200,1125.04,2,21,91,100.85,4,4.39560439560439,3
8916,socialistes,8.36,(socio)>al>>iste>,"(0, 1, 2)",14,177.549999999999,5,28.5714285714285,200,1125.04,2,14.4999999999999,119,322.749999999999,4,9.24369747899159,3
8964,solidarité,2.87,(solide)>aire>>ité>,"(0, 1, 2)",6,32.17,6,16.6666666666666,179,853.76,4,35.1955307262569,334,1491.88,3,23.6526946107784,3
8995,somnolence,0.36,(sommeil)>ol[VB]>>nce>,"(0, 1, 2)",10,60.06,7,60,3,0.86,5,33.3333333333333,213,1491.29,3,74.6478873239436,3
8996,somnolente,0.08,(sommeil)>ol[VB]>>ant/ent>,"(0, 1, 2)",10,60.06,7,70,3,0.86,5,66.6666666666666,522,3302.43999999999,7,80.8429118773946,3
9019,sonorité,0.26,(son)>ore>>ité>,"(0, 1, 2)",18,1894.35999999999,3,66.6666666666666,6,5.18999999999999,3,33.3333333333333,334,1491.88,3,76.0479041916167,3
9020,sonorités,0.04,(son)>ore>>ités>,"(0, 1, 2)",18,1894.35999999999,3,83.3333333333333,6,5.18999999999999,3,50,60,83.33,4,76.6666666666666,3
9025,sorcellerie,5.21,(sorc)>ell>>erie>,"(0, 1, 2)",2,62.84,4,50,1,5.21,3,0,109,267.479999999999,4,7.3394495412844,3
9264,spiritualité,0.79,(esprit)>el>>ité>,"(0, 1, 2)",4,169.109999999999,6,50,153,1103.39999999999,2,56.2091503267973,334,1491.88,3,54.191616766467,3
9282,sportivité,0.02,(sport)>if>>ité>,"(0, 1, 2)",4,40.88,5,50,168,409.409999999999,2,86.3095238095238,334,1491.88,3,88.9221556886227,3
9332,stérilisateur,0.18,(stérile)>is[VB]>>eur>,"(0, 1, 2)",5,8.82,7,60,126,424.71,5,53.1746031746031,501,2127.06,3,74.4510978043912,3
9333,stérilisation,0.37,(stérile)>is[VB]>>ion>,"(0, 1, 2)",5,8.82,7,40,126,424.71,5,42.8571428571428,766,3498.54,3,77.5456919060052,3
9518,supériorité,2,(supér)>eur>>ité>,"(0, 1, 2)",3,41.92,5,33.3333333333333,501,2127.06,3,33.7325349301397,334,1491.88,3,32.3353293413173,3
9834,teinturier,0.99,(teindre)>ure>>ier>,"(0, 1, 2)",5,13.95,7,60,122,595.65,3,52.4590163934426,181,847.1,3,46.4088397790055,3
9878,temporalités,0,(temps)>el>>ités>,"(0, 1, 2)",11,1340.11,5,81.8181818181818,153,1103.39999999999,2,90.8496732026143,60,83.33,4,83.3333333333333,3
9884,ténacité,0.89,(tén)>ace>>ité>,"(0, 1, 2)",1,0.89,3,0,15,28.65,3,40,334,1491.88,3,51.1976047904191,3
9889,tenancière,0.31,(tenir)>nce>>ier>,"(0, 1, 2)",25,976.42,5,84,213,1491.29,3,75.1173708920187,181,847.1,3,69.6132596685082,3
9970,terrifiante,3.12,(terr)>ifier>>ant/ent>,"(0, 1, 2)",9,153,4,66.6666666666666,27,49.0699999999999,5,22.2222222222222,522,3302.43999999999,7,25.8620689655172,3
