,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,SUFF_3_FamSize,SUFF_3_Freq,SUFF_3_Length,SUFF_3_PFMF,n_morphemes
7022,rationalisation,0.08,(raison)>el>>is[VB]>>ion>,"(0, 1, 3)",13,512.439999999999,6,61.5384615384615,153,1103.39999999999,2,80.3921568627451,126,424.71,5,61.1111111111111,766,3498.54,3,90.0783289817232,4
8280,sacralisation,0,(sacre)>al>>is[VB]>>ion>,"(0, 1, 3)",10,158.69,5,80,200,1125.04,2,96.5,126,424.71,5,87.3015873015873,766,3498.54,3,96.6057441253263,4
8285,sacrificiels,0,(sacre)>ifi[VB]>>ice>>el>,"(0, 1, 3)",10,158.69,5,80,33,315.52,6,81.8181818181818,17,312.58,3,94.1176470588235,153,1103.39999999999,2,90.8496732026143,4
8671,sentimentalité,0.18,(sentir)>ment>>al>>ité>,"(0, 1, 3)",28,914.42,6,71.4285714285714,919,5042.80999999999,4,71.3819368879216,200,1125.04,2,77,334,1491.88,3,80.5389221556886,4
9018,sonorisation,0.03,(son)>ore>>is[VB]>>ion>,"(0, 1, 3)",18,1894.35999999999,3,88.8888888888888,6,5.18999999999999,3,66.6666666666666,126,424.71,5,68.2539682539682,766,3498.54,3,93.6031331592689,4
9980,terrorisants,0.01,(terr)>eur>>is[VB]>>ant/ent>,"(0, 1, 3)",9,153,4,88.8888888888888,501,2127.06,3,90.4191616766467,126,424.71,5,75.3968253968253,522,3302.43999999999,7,90.9961685823754,4
12709,américanisation,0.02,(amérique)>ain>>is[VB]>>ion>,"(0, 1, 3)",3,109.63,8,66.6666666666666,31,805.679999999999,3,96.7741935483871,126,424.71,5,71.4285714285714,766,3498.54,3,93.864229765013,4
17169,consciencieusement,0.25,(conscient)>nce>>eux>>ment>,"(0, 1, 3)",9,83.03,9,88.8888888888888,213,1491.29,3,80.281690140845,271,1027.7,3,67.8966789667896,919,5042.80999999999,4,68.0087051142546,4
21224,éditorialiste,0.03,(éditer)>eur>>al>>iste>,"(0, 1, 3)",7,18.73,6,71.4285714285714,501,2127.06,3,86.2275449101796,200,1125.04,2,87.5,119,322.749999999999,4,82.3529411764705,4
21701,émotionnellement,1.53,(émot)>ion>>el>>ment>,"(0, 1, 3)",5,35.1,4,60,766,3498.54,3,48.5639686684073,153,1103.39999999999,2,44.4444444444444,919,5042.80999999999,4,31.8824809575625,4
23460,exceptionnellement,1.03,(excepter)>ion>>el>>ment>,"(0, 1, 3)",4,39.71,8,75,766,3498.54,3,58.6161879895561,153,1103.39999999999,2,51.6339869281045,919,5042.80999999999,4,40.9140369967355,4
23603,existentialistes,0.03,(exister)>ant/ent>>el>>iste>,"(0, 1, 3)",7,159.55,7,57.1428571428571,522,3302.43999999999,7,87.7394636015325,153,1103.39999999999,2,84.9673202614379,119,322.749999999999,4,82.3529411764705,4
26926,industrialisation,0.01,(industrie)>el>>is[VB]>>ion>,"(0, 1, 3)",4,21.5999999999999,9,50,153,1103.39999999999,2,88.235294117647,126,424.71,5,75.3968253968253,766,3498.54,3,95.1697127937336,4
28334,libéralisation,0.04,(libre)>al>>is[VB]>>ion>,"(0, 1, 3)",17,315.18,5,82.3529411764705,200,1125.04,2,84.5,126,424.71,5,66.6666666666666,766,3498.54,3,92.6892950391644,4
29621,molletonneux,0,(mou)>et>>on>>eux>,"(0, 1, 3)",11,25.87,3,90.9090909090909,75,229.51,2,92,109,331.19,2,92.6605504587155,271,1027.7,3,93.7269372693726,4
30087,naturalisation,0.06,(nature)>el>>is[VB]>>ion>,"(0, 1, 3)",9,137.06,6,66.6666666666666,153,1103.39999999999,2,82.3529411764705,126,424.71,5,63.4920634920634,766,3498.54,3,90.9921671018276,4
30194,neutralisation,0.13,(neutre)>al>>is[VB]>>ion>,"(0, 1, 3)",5,11.13,6,80,200,1125.04,2,80.5,126,424.71,5,57.1428571428571,766,3498.54,3,87.8590078328981,4
30866,outrageusement,0.08,(outrer)>age>>eux>>ment>,"(0, 1, 3)",4,1.63,6,75,201,707.48,3,76.6169154228855,271,1027.7,3,77.8597785977859,919,5042.80999999999,4,81.9368879216539,4
32832,professionnalisme,1.03,(professer)>ion>>el>>isme>,"(0, 1, 3)",6,146.829999999999,9,66.6666666666666,766,3498.54,3,58.6161879895561,153,1103.39999999999,2,51.6339869281045,91,100.85,4,34.065934065934,4
32835,professionnellement,1.13,(professer)>ion>>el>>ment>,"(0, 1, 3)",6,146.829999999999,9,50,766,3498.54,3,55.8746736292428,153,1103.39999999999,2,49.673202614379,919,5042.80999999999,4,38.7377584330794,4
35593,scénaristique,0.01,(scène)>ario>>iste>>ique>,"(0, 1, 3)",6,129.849999999999,5,66.6666666666666,3,21.85,4,66.6666666666666,119,322.749999999999,4,89.9159663865546,281,852.449999999999,4,89.6797153024911,4
37681,véritablement,2.03,(vérité)>ité>>able>>ment>,"(0, 1, 3)",8,334.159999999999,6,62.5,334,1491.88,3,31.1377245508982,313,1042.69,4,29.073482428115,919,5042.80999999999,4,25.8977149075081,4
