,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,ROOT_2_FamSize,ROOT_2_Freq,ROOT_2_Length,ROOT_2_PFMF,n_morphemes
245,alphabet,3.14,(alpha)(beta),"(0, 2, 0)",5,7.37,5,0,5,14.9699999999999,4,20,2
353,antidote,4.38,(anti)(dote),"(0, 2, 0)",2,5.57,4,0,1,4.38,4,0,2
355,antipodes,1.19,(anti)(podes),"(0, 2, 0)",2,5.57,4,50,1,1.19,5,0,2
400,aqueduc,0.23,(aqua)(duc),"(0, 2, 0)",4,4.74,4,50,5,12.99,3,60,2
495,atmosphère,13.45,(atmo)(sphère),"(0, 2, 0)",2,14.59,4,0,6,19.69,6,0,2
535,auquel,16.89,(au)(quel),"(0, 2, 0)",5,4634.76999999999,2,40,7,1449.91,4,57.1428571428571,2
561,automate,0.19,(auto)(mate),"(0, 2, 0)",17,65.37,4,64.7058823529411,3,5.89,4,66.6666666666666,2
562,automates,0.3,(auto)(mater),"(0, 2, 0)",17,65.37,4,58.8235294117647,2,11.84,5,50,2
564,autonome,5.1,(auto)(nome/ie),"(0, 2, 0)",17,65.37,4,23.5294117647058,12,44.0899999999999,7,25,2
729,barmaid,0.65,(bar)(maid),"(0, 2, 0)",3,75.74,3,66.6666666666666,1,0.65,4,0,2
730,barman,7.53,(bar)(main),"(0, 2, 0)",3,75.74,3,33.3333333333333,12,530.92,4,16.6666666666666,2
776,bébête,0.25,(bête)(bête),"(0, 2, 0)",11,210.27,4,72.7272727272727,11,210.27,4,72.7272727272727,2
831,betterave,1.46,(bette)(rave),"(0, 2, 0)",1,1.46,5,0,1,1.46,4,0,2
979,bouledogue,0.71,(boule)(dogue),"(0, 2, 0)",10,45.03,5,50,1,0.71,5,0,2
1214,cameraman,1.54,(caméra)(main),"(0, 2, 0)",3,60.05,6,33.3333333333333,12,530.92,4,58.3333333333333,2
1378,cataclysme,0.679999999999999,(cata)(clysme),"(0, 2, 0)",3,3.96999999999999,4,66.6666666666666,1,0.679999999999999,6,0,2
1380,catacombes,2.04,(cata)(combes),"(0, 2, 0)",3,3.96999999999999,4,0,1,2.04,6,0,2
1381,catapultes,1.25,(cata)(pultes),"(0, 2, 0)",3,3.96999999999999,4,33.3333333333333,1,1.25,6,0,2
1598,chiendent,0.69,(chien)(dent),"(0, 2, 0)",2,224.22,5,50,7,96.9399999999999,4,57.1428571428571,2
1633,chromosomes,1.2,(chrome)(somes),"(0, 2, 0)",5,2.34,6,0,1,1.2,5,0,2
1671,circonvenue,0.01,(circon)(venir),"(0, 2, 0)",3,0.92,6,66.6666666666666,18,3610.1,5,94.4444444444444,2
2618,dudit,0.16,(du)(dire),"(0, 2, 0)",3,4397.21999999999,2,66.6666666666666,10,6053.94999999999,4,70,2
2627,duquel,2.36,(du)(quel),"(0, 2, 0)",3,4397.21999999999,2,33.3333333333333,7,1449.91,4,71.4285714285714,2
2804,encyclopédie,1.98999999999999,(encyclo)(pédie),"(0, 2, 0)",1,1.98999999999999,7,0,1,1.98999999999999,5,0,2
2870,épidémie,9.05,(épi)(démie),"(0, 2, 0)",3,12.55,3,0,2,11.8,5,0,2
2872,épilepsie,1.89,(épi)(lepsie),"(0, 2, 0)",3,12.55,3,33.3333333333333,1,1.89,6,0,2
3204,faubourg,1.69,(faux)(bourg),"(0, 2, 0)",7,142.13,4,28.5714285714285,6,20.22,5,50,2
3303,filigrane,0.43,(fil)(grane),"(0, 2, 0)",16,148.79,3,56.25,1,0.43,5,0,2
3977,hémorroïdes,1.46,(hémo)(rroïdes),"(0, 2, 0)",2,9.85,4,50,1,1.46,7,0,2
3982,hermaphrodites,0.34,(herma)(aphrodite),"(0, 2, 0)",1,0.34,5,0,2,2.01,9,50,2
4248,intermède,0.77,(inter)(mède),"(0, 2, 0)",1,0.77,5,0,1,0.77,4,0,2
4460,laquelle,68.94,(la)(quel),"(0, 2, 0)",2,16097.02,2,50,7,1449.91,4,14.2857142857142,2
4499,leadership,0.38,(leader)(ship),"(0, 2, 0)",2,13.1,6,50,1,0.38,4,0,2
4527,lequel,64.31,(le)(quel),"(0, 2, 0)",2,17017.81,2,50,7,1449.91,4,28.5714285714285,2
4565,lieudit,0,(lieu)(dire),"(0, 2, 0)",2,181.85,4,50,10,6053.94999999999,4,90,2
4729,madame,249.32,(ma)(dame),"(0, 2, 0)",3,2670.39,2,33.3333333333333,5,431.49,4,0,2
4762,maintien,2.01,(main)(tenir),"(0, 2, 0)",12,530.92,4,33.3333333333333,25,976.42,5,40,2
4780,malaises,6.96,(mal)(aise),"(0, 2, 0)",36,1119.62999999999,3,22.2222222222222,6,48.63,4,16.6666666666666,2
4789,malfrat,1.52,(mal)(frat),"(0, 2, 0)",36,1119.62999999999,3,50,1,1.52,4,0,2
4791,malgré,46.5,(mal)(gré),"(0, 2, 0)",36,1119.62999999999,3,8.33333333333333,2,57.86,3,0,2
4792,malheur,107.709999999999,(mal)(heureux),"(0, 2, 0)",36,1119.62999999999,3,2.77777777777777,5,443.87,7,20,2
4985,mélanomes,0.09,(méla)(nome/ie),"(0, 2, 0)",1,0.09,4,0,12,44.0899999999999,7,58.3333333333333,2
4998,mémère,1.04,(mère)(mère),"(0, 2, 0)",7,700.249999999999,4,42.8571428571428,7,700.249999999999,4,42.8571428571428,2
5043,mesdames,58.03,(mes)(dame),"(0, 2, 0)",5,1328.99,3,40,5,431.49,4,40,2
5053,messieurs,155.66,(mes)(sieur),"(0, 2, 0)",5,1328.99,3,20,2,739.11,5,50,2
5054,messire,5.21,(mes)(sire),"(0, 2, 0)",5,1328.99,3,80,2,8.58,4,0,2
5057,métaphore,4.71,(méta)(phore),"(0, 2, 0)",4,8.45999999999999,4,0,1,4.71,5,0,2
5059,métastase,0.08,(méta)(stase),"(0, 2, 0)",4,8.45999999999999,4,75,1,0.08,5,0,2
5078,métronome,0.15,(métro)(nome/ie),"(0, 2, 0)",3,18.7599999999999,5,66.6666666666666,12,44.0899999999999,7,50,2
5079,métropole,0.95,(métro)(pole),"(0, 2, 0)",3,18.7599999999999,5,33.3333333333333,3,2.47,4,33.3333333333333,2
5119,millimètres,2.78,(milli)(mètre),"(0, 2, 0)",2,2.8,5,0,16,98.51,5,31.25,2
5242,monocle,0.53,(mon)(ocul),"(0, 2, 0)",7,4461.93,3,71.4285714285714,3,4.77,4,66.6666666666666,2
5243,monsieur,583.45,(mon)(sieur),"(0, 2, 0)",7,4461.93,3,14.2857142857142,2,739.11,5,0,2
5569,oesophage,0.48,(oeso)(phage),"(0, 2, 0)",1,0.48,4,0,4,0.75,5,0,2
5715,overdose,4.81,(over)(doser),"(0, 2, 0)",1,4.81,4,0,4,25.23,5,25,2
5719,pachyderme,0.14,(pachy)(derme),"(0, 2, 0)",1,0.14,5,0,2,0.59,5,50,2
5785,panorama,1.11,(pano)(rama),"(0, 2, 0)",1,1.11,4,0,1,1.11,4,0,2
5788,panthéon,0.78,(pan)(théon),"(0, 2, 0)",4,14.85,3,50,1,0.78,5,0,2
5817,parabole,1.78,(parer)(bole),"(0, 2, 0)",13,316.24,5,46.1538461538461,1,1.78,4,0,2
5819,paradoxe,1.9,(parer)(doxe),"(0, 2, 0)",13,316.24,5,38.4615384615384,3,4.9,4,33.3333333333333,2
5822,paragraphe,3.58,(parer)(graphe/ie),"(0, 2, 0)",13,316.24,5,23.076923076923,35,67.24,9,8.57142857142857,2
5826,parallélépipèdes,0,(parallèle)(pipèdes),"(0, 2, 0)",3,3.86,9,66.6666666666666,1,0,7,0,2
5881,parterre,2.76,(par)(terre),"(0, 2, 0)",4,1781.89999999999,3,50,19,522.31,5,57.8947368421052,2
5894,passeport,19.81,(passer)(porter),"(0, 2, 0)",7,1813.77999999999,6,42.8571428571428,24,892.509999999999,6,33.3333333333333,2
5895,passeports,5.75,(passer)(ports),"(0, 2, 0)",7,1813.77999999999,6,71.4285714285714,4,17,5,25,2
5993,pépère,1.86,(père)(père),"(0, 2, 0)",6,905.68,4,66.6666666666666,6,905.68,4,66.6666666666666,2
6098,phylloxéra,0.1,(phyllo)(xéra),"(0, 2, 0)",2,0.1,6,0,1,0.1,4,0,2
6109,pickpocket,0.63,(pick)(pocket),"(0, 2, 0)",1,0.63,4,0,1,0.63,6,0,2
6373,pourboire,8.77,(pour)(boire),"(0, 2, 0)",8,9222.85,4,37.5,17,647.84,5,17.6470588235294,2
6376,pourparlers,0.96,(pour)(parler),"(0, 2, 0)",8,9222.85,4,75,10,2015.93,6,70,2
6377,pourpoint,0.59,(pour)(point),"(0, 2, 0)",8,9222.85,4,87.5,4,39.72,5,25,2
6625,prototype,2.29,(proto)(type),"(0, 2, 0)",1,2.29,5,0,5,348.19,4,40,2
6669,pseudonyme,1.46,(pseudo)(nyme),"(0, 2, 0)",1,1.46,6,0,5,17.08,4,20,2
6678,psychologie,12.31,(psycho)(logue/ie),"(0, 2, 0)",19,70.56,6,0,55,105.27,8,3.63636363636363,2
6682,psychopathe,9.39,(psycho)(pathe/ie),"(0, 2, 0)",19,70.56,6,10.5263157894736,13,52.9799999999999,8,15.3846153846153,2
6687,psychothérapie,0.69,(psycho)(thérapie),"(0, 2, 0)",19,70.56,6,73.6842105263157,7,20.09,8,57.1428571428571,2
6835,quintessence,0.43,(quint)(essence),"(0, 2, 0)",3,0.52,5,0,4,56.82,7,75,2
6905,radiologues,0.04,(radio)(logue/ie),"(0, 2, 0)",8,82.23,5,50,55,105.27,8,80,2
6907,radioscopie,0.03,(radio)(scope/ie),"(0, 2, 0)",8,82.23,5,62.5,11,10.77,8,72.7272727272727,2
7214,rectangles,0.48,(rect)(angle),"(0, 2, 0)",4,2.43,4,25,6,18.79,5,50,2
7216,rectilignes,0.16,(rect)(ligne),"(0, 2, 0)",4,2.43,4,75,7,108.109999999999,5,71.4285714285714,2
7697,reprographie,0.08,(répro)(graphe/ie),"(0, 2, 0)",1,0.08,5,0,35,67.24,9,71.4285714285714,2
8366,sanatorium,1.59,(sain)(orium),"(0, 2, 0)",7,124.55,4,57.1428571428571,1,1.59,5,0,2
8367,sanatoriums,0.1,(sain)(oriums),"(0, 2, 0)",7,124.55,4,85.7142857142857,1,0.1,6,0,2
8486,saxophone,1.3,(saxo)(phone/ie),"(0, 2, 0)",2,2.03,4,0,15,238.13,8,40,2
8512,scénographe,0.03,(scène)(graphe/ie),"(0, 2, 0)",6,129.849999999999,5,50,35,67.24,9,74.2857142857142,2
8867,sinécures,0,(siné)(cure),"(0, 2, 0)",1,0,4,0,5,10.66,4,80,2
8920,sociologie,1.54,(socio)(logue/ie),"(0, 2, 0)",14,177.549999999999,5,50,55,105.27,8,27.2727272727272,2
8993,somnambules,3.3,(sommeil)(ambuler),"(0, 2, 0)",10,60.06,7,30,8,35.7,7,12.5,2
9324,sténographie,0.32,(sténo)(graphe/ie),"(0, 2, 0)",3,1.14,5,33.3333333333333,35,67.24,9,57.1428571428571,2
9507,superchampion,0,(super)(champion),"(0, 2, 0)",8,242.82,5,75,3,43.15,8,66.6666666666666,2
9519,supermarché,10.68,(super)(marché),"(0, 2, 0)",8,242.82,5,12.5,2,129.94,6,50,2
9520,supernova,0.55,(super)(nova),"(0, 2, 0)",8,242.82,5,50,1,0.55,4,0,2
9523,superstar,1.81999999999999,(super)(star),"(0, 2, 0)",8,242.82,5,25,2,41.17,4,50,2
9528,superstructures,0,(super)(structure),"(0, 2, 0)",8,242.82,5,75,7,10.1599999999999,9,57.1428571428571,2
9823,taxiphone,0.01,(taxi)(phone/ie),"(0, 2, 0)",2,63.78,4,50,15,238.13,8,86.6666666666666,2
9829,technologie,17.57,(techno)(logue/ie),"(0, 2, 0)",2,18.84,6,0,55,105.27,8,0,2
9837,télégramme,11.43,(télé)(gramme),"(0, 2, 0)",24,391.179999999999,4,16.6666666666666,2,17.24,6,0,2
9839,télégraphe,1.53,(télé)(graphe/ie),"(0, 2, 0)",24,391.179999999999,4,45.8333333333333,35,67.24,9,22.8571428571428,2
9843,télémesure,0.07,(télé)(mesure),"(0, 2, 0)",24,391.179999999999,4,79.1666666666666,8,53.09,6,75,2
9845,télépathe,3.46999999999999,(télé)(pathe/ie),"(0, 2, 0)",24,391.179999999999,4,29.1666666666666,13,52.9799999999999,8,30.7692307692307,2
9852,télésiège,1.04,(télé)(siège),"(0, 2, 0)",24,391.179999999999,4,50,4,32.4899999999999,5,25,2
9853,téléski,0.02,(télé)(ski),"(0, 2, 0)",24,391.179999999999,4,83.3333333333333,3,19.11,3,66.6666666666666,2
9854,téléspectateurs,2.03,(télé)(spectateur),"(0, 2, 0)",24,391.179999999999,4,41.6666666666666,2,10.44,10,50,2
9947,terminologie,0.46,(terme)(logue/ie),"(0, 2, 0)",3,38.14,5,33.3333333333333,55,105.27,8,56.3636363636363,2
10009,théologie,1.96,(théo)(logue/ie),"(0, 2, 0)",2,2.07,4,0,55,105.27,8,16.3636363636363,2
10019,thermomètre,1.37,(thermo)(mètre),"(0, 2, 0)",7,5.81,6,14.2857142857142,16,98.51,5,43.75,2
10153,topographie,0.33,(topo)(graphe/ie),"(0, 2, 0)",2,3.49,4,50,35,67.24,9,54.2857142857142,2
10223,tournesol,1.43,(tourner)(sol),"(0, 2, 0)",2,4.89,7,50,6,58.5299999999999,3,33.3333333333333,2
10225,tournevis,3.46,(tourner)(voir),"(0, 2, 0)",2,4.89,7,0,28,3534.49,4,35.7142857142857,2
10300,tramway,0.17,(trame)(way),"(0, 2, 0)",2,8.47,5,50,1,0.17,3,0,2
10374,traumatologue,0.02,(trauma)(logue/ie),"(0, 2, 0)",4,11.7599999999999,6,75,55,105.27,8,83.6363636363636,2
