,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,n_morphemes
46,abord,2.22,<a<(bord),"(1, 1, 0)",271,2142.22,1,33.210332103321,12,121.46,4,50,2
147,adroit,1.13,<a<(droit),"(1, 1, 0)",271,2142.22,1,45.3874538745387,3,377.989999999999,5,66.6666666666666,2
150,adverse,1.83,<ad<(verser),"(1, 1, 0)",6,28.56,2,33.3333333333333,6,61.37,6,33.3333333333333,2
151,adverses,0.1,<ad<(verse),"(1, 1, 0)",6,28.56,2,66.6666666666666,12,412.229999999999,5,66.6666666666666,2
213,alchimie,0.95,<a<(chimie),"(1, 1, 0)",271,2142.22,1,48.7084870848708,9,22.71,6,55.5555555555555,2
490,athée,3.16,<a<(thée),"(1, 1, 0)",271,2142.22,1,24.3542435424354,2,3.25,4,0,2
577,aval,2.08,<a<(valoir),"(1, 1, 0)",271,2142.22,1,34.3173431734317,16,308.48,6,50,2
589,averse,1.15,<a<(verser),"(1, 1, 0)",271,2142.22,1,45.0184501845018,6,61.37,6,66.6666666666666,2
590,averses,0.63,<a<(verse),"(1, 1, 0)",271,2142.22,1,59.040590405904,12,412.229999999999,5,50,2
592,aveu,11.15,<a<(vouloir),"(1, 1, 0)",271,2142.22,1,12.1771217712177,2,4564.65999999999,7,50,2
1799,collatérale,0.33,<co<(latéral),"(1, 1, 0)",24,73.72,2,66.6666666666666,5,2.91,7,40,2
1862,compassion,10.15,<com<(passion),"(1, 1, 0)",14,28.22,3,0,6,66.34,7,16.6666666666666,2
1864,compère,2.12,<com<(père),"(1, 1, 0)",14,28.22,3,21.4285714285714,6,905.68,4,33.3333333333333,2
1871,complainte,0.61,<com<(plaindre/te),"(1, 1, 0)",14,28.22,3,50,2,67.35,11,50,2
1950,conjoint,0.64,<con<(joindre),"(1, 1, 0)",56,190.18,3,51.7857142857142,17,174.299999999999,7,41.1764705882352,2
1986,contient,32.31,<con<(tenir),"(1, 1, 0)",56,190.18,3,1.78571428571428,25,976.42,5,12,2
2011,convive,0.68,<con<(vivre),"(1, 1, 0)",56,190.18,3,50,20,823.909999999999,5,50,2
2297,débat,17.43,<dé<(battre),"(1, 1, 0)",422,1752.69,2,5.92417061611374,12,253.13,6,16.6666666666666,2
2304,débris,4.94,<dé<(bris),"(1, 1, 0)",422,1752.69,2,14.9289099526066,4,74.33,4,25,2
2318,déclic,0.96,<dé<(clic),"(1, 1, 0)",422,1752.69,2,43.6018957345971,3,1.52999999999999,4,0,2
2330,défaite,21.75,<dé<(faire),"(1, 1, 0)",422,1752.69,2,4.02843601895734,19,9338.35999999999,5,10.5263157894736,2
2349,dégoût,6.02,<dé<(goût),"(1, 1, 0)",422,1752.69,2,13.0331753554502,7,140.22,4,57.1428571428571,2
2369,démarches,5.75,<dé<(marche),"(1, 1, 0)",422,1752.69,2,13.7440758293838,6,376.56,6,33.3333333333333,2
2512,dissous,4.26,<dé<(soudre),"(1, 1, 0)",422,1752.69,2,16.824644549763,4,342.36,6,25,2
2839,entorse,1.4,<en<(torse),"(1, 1, 0)",218,2094.69,2,42.2018348623853,2,5.61999999999999,5,50,2
2841,entrain,3.82,<en<(train),"(1, 1, 0)",218,2094.69,2,25.6880733944954,2,259.1,5,50,2
2848,envers,50.53,<en<(verse),"(1, 1, 0)",218,2094.69,2,5.04587155963302,12,412.229999999999,5,16.6666666666666,2
2860,éperdu,0.58,<é<(perdre),"(1, 1, 0)",86,320.17,1,50,7,591.38,6,57.1428571428571,2
2888,épris,1.64,<é<(prendre),"(1, 1, 0)",86,320.17,1,26.7441860465116,9,2034.35,7,55.5555555555555,2
2889,éprise,0.84,<é<(priser),"(1, 1, 0)",86,320.17,1,41.860465116279,4,96.4199999999999,6,75,2
2991,étend,25.8399999999999,<é<(tendre),"(1, 1, 0)",86,320.17,1,4.65116279069767,17,196.97,6,11.7647058823529,2
3105,extraire,11.1,<ex<(traire),"(1, 1, 0)",23,79.38,2,8.69565217391304,5,21.52,6,0,2
4116,ignoble,8.11,<in<(noble),"(1, 1, 0)",427,1478.96,2,4.91803278688524,5,49.92,5,20,2
4139,impasse,6.95,<in<(passer),"(1, 1, 0)",427,1478.96,2,7.02576112412178,7,1813.77999999999,6,57.1428571428571,2
4141,impatients,14.11,<in<(patient),"(1, 1, 0)",427,1478.96,2,2.57611241217798,8,142.75,7,37.5,2
4155,imprécise,0.36,<in<(précis),"(1, 1, 0)",427,1478.96,2,70.9601873536299,5,60.7399999999999,6,80,2
4264,intrépide,1.63,<in<(trépider),"(1, 1, 0)",427,1478.96,2,34.4262295081967,3,2.06,8,0,2
4268,inutiles,79.5,<in<(utile),"(1, 1, 0)",427,1478.96,2,0.702576112412178,13,322.82,5,7.69230769230769,2
5153,minuit,38.47,<mi<(nuit),"(1, 1, 0)",1,38.47,2,0,2,630.3,4,50,2
5530,oblongue,0.03,<ob<(long),"(1, 1, 0)",2,0.93,2,50,13,547.88,4,84.6153846153846,2
5541,obtins,0.9,<ob<(tenir),"(1, 1, 0)",2,0.93,2,0,25,976.42,5,52,2
5773,pancarte,3.88999999999999,<pan<(carte),"(1, 1, 0)",1,3.88999999999999,3,0,4,148.97,5,25,2
6380,poursuis,4.58,<pour<(être),"(1, 1, 0)",6,94.1399999999999,4,33.3333333333333,4,42435.68,4,25,2
6381,poursuit,67.32,<pour<(suivre),"(1, 1, 0)",6,94.1399999999999,4,0,6,677.169999999999,6,16.6666666666666,2
6403,pourtour,0.09,<pour<(tour),"(1, 1, 0)",6,94.1399999999999,4,83.3333333333333,31,1014.31,4,90.3225806451612,2
6404,pourvoir,1.57,<pour<(voir),"(1, 1, 0)",6,94.1399999999999,4,66.6666666666666,28,3534.49,4,57.1428571428571,2
6406,pourvu,18.9399999999999,<pour<(vue),"(1, 1, 0)",6,94.1399999999999,4,16.6666666666666,6,1334,3,50,2
6422,préambule,0.25,<pré<(ambuler),"(1, 1, 0)",49,209.31,3,67.3469387755102,8,35.7,7,62.5,2
6426,précautions,10.25,<pré<(caution),"(1, 1, 0)",49,209.31,3,10.204081632653,5,21.28,7,20,2
6440,préjudice,1.56,<pré<(judice),"(1, 1, 0)",49,209.31,3,42.8571428571428,3,12.57,6,66.6666666666666,2
6536,prologue,1.38,<pro<(logue/ie),"(1, 1, 0)",15,37.76,3,46.6666666666666,55,105.27,8,32.7272727272727,2
6629,provenaient,8.35,<pro<(venir),"(1, 1, 0)",15,37.76,3,0,18,3610.1,5,33.3333333333333,2
6636,proverbe,4.9,<pro<(verbe),"(1, 1, 0)",15,37.76,3,20,3,8.02,5,0,2
6869,raccord,0.81,<re<(accord),"(1, 1, 0)",434,6595.02,2,59.2165898617511,3,770.019999999999,6,66.6666666666666,2
6872,rachat,1.79,<re<(achat),"(1, 1, 0)",434,6595.02,2,43.5483870967741,2,11.54,5,50,2
6947,rajouts,0.04,<re<(ajout),"(1, 1, 0)",434,6595.02,2,85.0230414746543,4,45.6999999999999,5,50,2
6987,rappel,4.24,<re<(appel),"(1, 1, 0)",434,6595.02,2,29.9539170506912,6,1550.54,5,50,2
7005,rasseyaient,0.65,<re<(asseoir),"(1, 1, 0)",434,6595.02,2,63.1336405529953,2,343.659999999999,7,50,2
7046,ravoir,1.16,<re<(avoir),"(1, 1, 0)",434,6595.02,2,52.3041474654377,2,20221.85,5,50,2
7078,rebord,2.7,<re<(bord),"(1, 1, 0)",434,6595.02,2,35.4838709677419,12,121.46,4,41.6666666666666,2
7113,rechange,4.71,<re<(changer),"(1, 1, 0)",434,6595.02,2,27.1889400921658,6,526.87,7,50,2
7114,réchaud,1,<re<(chaud),"(1, 1, 0)",434,6595.02,2,55.0691244239631,14,223.56,5,57.1428571428571,2
7135,recoin,2.27,<re<(coin),"(1, 1, 0)",434,6595.02,2,38.479262672811,2,101.78,4,50,2
7144,reconduire,3.4,<re<(conduire),"(1, 1, 0)",434,6595.02,2,32.7188940092165,4,207.609999999999,8,50,2
7148,réconfort,4.71,<re<(confort),"(1, 1, 0)",434,6595.02,2,27.1889400921658,9,35.51,7,33.3333333333333,2
7150,reconnais,138.57,<re<(connaître),"(1, 1, 0)",434,6595.02,2,2.53456221198156,11,1244.33,9,9.09090909090909,2
7175,reconquérais,1.49,<re<(conquérir/te),"(1, 1, 0)",434,6595.02,2,48.3870967741935,3,23.72,12,66.6666666666666,2
7183,reconstruire,6.27,<re<(construire),"(1, 1, 0)",434,6595.02,2,23.0414746543778,6,83.26,10,33.3333333333333,2
7188,recoudre,3.69,<re<(coudre),"(1, 1, 0)",434,6595.02,2,31.1059907834101,3,12.9599999999999,6,33.3333333333333,2
7190,recoure,0.01,<re<(coure),"(1, 1, 0)",434,6595.02,2,89.1705069124423,2,0.73,5,50,2
7191,recourir,7.88,<re<(courir),"(1, 1, 0)",434,6595.02,2,20.9677419354838,11,502.44,6,27.2727272727272,2
7196,recouverte,8.19,<re<(couvrir),"(1, 1, 0)",434,6595.02,2,20.2764976958525,4,178.53,7,50,2
7219,recueil,8.97,<re<(cueillir),"(1, 1, 0)",434,6595.02,2,18.663594470046,5,21.5,8,20,2
7229,recuite,0.03,<re<(cuire),"(1, 1, 0)",434,6595.02,2,86.1751152073732,2,44.21,5,50,2
7247,redescend,9.04,<re<(descendre/te),"(1, 1, 0)",434,6595.02,2,18.4331797235023,7,259.95,12,14.2857142857142,2
7256,redevenait,15.32,<re<(devenir),"(1, 1, 0)",434,6595.02,2,14.9769585253456,2,446.7,7,50,2
7269,redevinrent,0.24,<re<(devoir),"(1, 1, 0)",434,6595.02,2,74.4239631336405,4,3297.93999999999,6,75,2
7273,redirai,8.82,<re<(dire),"(1, 1, 0)",434,6595.02,2,18.8940092165898,10,6053.94999999999,4,10,2
7295,réécrira,1.98,<re<(écrire),"(1, 1, 0)",434,6595.02,2,41.4746543778801,14,378.32,6,42.8571428571428,2
7306,réentendaient,0,<re<(entendre/te),"(1, 1, 0)",434,6595.02,2,93.5483870967741,4,794.78,11,75,2
7307,refaire,55.43,<re<(faire),"(1, 1, 0)",434,6595.02,2,6.22119815668202,19,9338.35999999999,5,5.26315789473684,2
7322,refit,0.03,<re<(fier),"(1, 1, 0)",434,6595.02,2,86.1751152073732,3,113.42,4,66.6666666666666,2
7329,reflux,0.47,<re<(flux),"(1, 1, 0)",434,6595.02,2,67.0506912442396,12,12.32,4,33.3333333333333,2
7330,réformes,0.86,<re<(forme),"(1, 1, 0)",434,6595.02,2,58.294930875576,29,262.78,5,65.5172413793103,2
7339,regain,0.14,<re<(gain),"(1, 1, 0)",434,6595.02,2,79.0322580645161,3,11,4,66.6666666666666,2
7383,rejoignaient,94.56,<re<(joindre),"(1, 1, 0)",434,6595.02,2,3.91705069124423,17,174.299999999999,7,0,2
7426,relire,5.31999999999999,<re<(lire),"(1, 1, 0)",434,6595.02,2,25.1152073732718,5,249.02,4,40,2
7431,relit,0.22,<re<(lit),"(1, 1, 0)",434,6595.02,2,74.8847926267281,4,199.809999999999,3,75,2
7434,reluire,0.5,<re<(luire),"(1, 1, 0)",434,6595.02,2,66.3594470046083,4,11.54,5,25,2
7439,remblai,0.08,<re<(emblayer),"(1, 1, 0)",434,6595.02,2,81.1059907834101,1,0.08,8,0,2
7445,remet,138.17,<re<(mettre),"(1, 1, 0)",434,6595.02,2,2.76497695852534,11,1192.07,6,9.09090909090909,2
7463,remirent,0.04,<re<(mirer),"(1, 1, 0)",434,6595.02,2,85.0230414746543,2,3.38999999999999,5,50,2
