,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
20,abaissement,0.31,<ab<(baisser)>ment>,"(1, 1, 1)",3,1.44,2,33.3333333333333,5,80.7,7,60,919,5042.80999999999,4,64.2002176278563,3
47,abordage,1.22,<a<(bord)>age>,"(1, 1, 1)",271,2142.22,1,43.1734317343173,12,121.46,4,66.6666666666666,201,707.48,3,41.2935323383084,3
264,ambivalence,0.28,<ambi<(valoir)>nce>,"(1, 1, 1)",2,0.34,4,0,16,308.48,6,81.25,213,1491.29,3,76.9953051643192,3
265,ambivalente,0.06,<ambi<(valoir)>ant/ent>,"(1, 1, 1)",2,0.34,4,50,16,308.48,6,93.75,522,3302.43999999999,7,82.375478927203,3
346,antécédents,5.59,<anté<(céder)>ant/ent>,"(1, 1, 1)",2,8.42,4,0,12,66.31,5,25,522,3302.43999999999,7,16.4750957854406,3
586,avènement,0.53,<a<(venir)>ment>,"(1, 1, 1)",271,2142.22,1,62.3616236162361,18,3610.1,5,83.3333333333333,919,5042.80999999999,4,54.189336235038,3
591,aversion,0.97,<a<(verse)>ion>,"(1, 1, 1)",271,2142.22,1,47.970479704797,12,412.229999999999,5,41.6666666666666,766,3498.54,3,60.1827676240208,3
1774,coefficient,0.81,<co<(effet)>ant/ent>,"(1, 1, 1)",24,73.72,2,58.3333333333333,7,152.899999999999,5,71.4285714285714,522,3302.43999999999,7,51.3409961685823,3
1797,collaborateurs,3.65,<co<(labor)>eur>,"(1, 1, 1)",24,73.72,2,29.1666666666666,7,33.83,5,57.1428571428571,501,2127.06,3,21.9560878243512,3
1841,commisération,0.14,<co<(misère)>ion>,"(1, 1, 1)",24,73.72,2,75,5,39.68,6,80,766,3498.54,3,86.9451697127937,3
1859,compartiment,6.73,<com<(partir)>ment>,"(1, 1, 1)",14,28.22,3,7.14285714285714,15,1760.78999999999,6,26.6666666666666,919,5042.80999999999,4,11.5342763873775,3
1919,condoléances,10.8,<con<(douleur)>nce>,"(1, 1, 1)",56,190.18,3,5.35714285714285,9,106.699999999999,7,22.2222222222222,213,1491.29,3,16.4319248826291,3
2006,convention,7.44,<con<(venir)>ion>,"(1, 1, 1)",56,190.18,3,7.14285714285714,18,3610.1,5,44.4444444444444,766,3498.54,3,15.5352480417754,3
2707,effraction,7.49,<é<(fract)>ion>,"(1, 1, 1)",86,320.17,1,8.13953488372093,6,21.89,5,16.6666666666666,766,3498.54,3,15.2741514360313,3
2709,effusion,1.73,<é<(être)>ion>,"(1, 1, 1)",86,320.17,1,25.5813953488372,4,42435.68,4,50,766,3498.54,3,45.3002610966057,3
2746,élocution,0.84,<é<(locut)>ion>,"(1, 1, 1)",86,320.17,1,41.860465116279,7,3.06999999999999,5,14.2857142857142,766,3498.54,3,63.0548302872062,3
3043,éventail,2.96,<é<(vent)>ail>,"(1, 1, 1)",86,320.17,1,18.6046511627907,8,87.3899999999999,4,12.5,8,29.13,3,25,3
3071,excursion,3.67,<ex<(curs)>ion>,"(1, 1, 1)",23,79.38,2,17.391304347826,3,4.4,4,0,766,3498.54,3,28.1984334203655,3
3098,extension,2.43,<ex<(tendre)>ion>,"(1, 1, 1)",23,79.38,2,30.4347826086956,17,196.97,6,47.0588235294117,766,3498.54,3,37.0757180156658,3
3103,extorsion,1.57,<ex<(tordre)>ion>,"(1, 1, 1)",23,79.38,2,39.1304347826086,11,25.4,6,18.1818181818181,766,3498.54,3,47.3890339425587,3
4118,ignominie,0.89,<in<(nom)>ie>,"(1, 1, 1)",427,1478.96,2,47.5409836065573,13,666,3,69.2307692307692,59,435.78,2,67.7966101694915,3
4151,imposture,1.78,<in<(poste)>ure>,"(1, 1, 1)",427,1478.96,2,31.1475409836065,5,102.98,5,60,122,595.65,3,39.3442622950819,3
4198,infraction,3.95,<in<(fract)>ion>,"(1, 1, 1)",427,1478.96,2,15.6908665105386,6,21.89,5,33.3333333333333,766,3498.54,3,26.7624020887728,3
4238,intempéries,0.42,<in<(tempérer)>ie>,"(1, 1, 1)",427,1478.96,2,67.2131147540983,4,20.81,8,50,59,435.78,2,86.4406779661017,3
4961,mécréants,0.36,<mé<(créer)>ant/ent>,"(1, 1, 1)",14,36.91,2,64.2857142857142,9,146.2,5,88.8888888888888,522,3302.43999999999,7,64.367816091954,3
6387,poursuivant,1.64,<pour<(suivre)>ant/ent>,"(1, 1, 1)",6,94.1399999999999,4,50,6,677.169999999999,6,50,522,3302.43999999999,7,36.7816091954023,3
6446,préposition,0.2,<pré<(poser)>ion>,"(1, 1, 1)",49,209.31,3,71.4285714285714,24,427.529999999999,5,58.3333333333333,766,3498.54,3,84.5953002610966,3
6514,progéniture,1.6,<pro<(gène)>ure>,"(1, 1, 1)",15,37.76,3,40,19,41.24,4,31.578947368421,122,595.65,3,41.8032786885245,3
6537,prolongement,0.36,<pro<(long)>ment>,"(1, 1, 1)",15,37.76,3,73.3333333333333,13,547.88,4,76.9230769230769,919,5042.80999999999,4,61.4798694232861,3
6562,promontoire,0.18,<pro<(mont)>oire>,"(1, 1, 1)",15,37.76,3,93.3333333333333,4,14.8199999999999,4,75,47,114.259999999999,4,85.1063829787234,3
6631,provenance,3.73,<pro<(venir)>nce>,"(1, 1, 1)",15,37.76,3,33.3333333333333,18,3610.1,5,61.1111111111111,213,1491.29,3,29.1079812206572,3
6633,provenant,3.74,<pro<(venir)>ant/ent>,"(1, 1, 1)",15,37.76,3,26.6666666666666,18,3610.1,5,55.5555555555555,522,3302.43999999999,7,22.6053639846743,3
6635,provenir,1.36,<pro<(venir)>[VB]>,"(1, 1, 1)",15,37.76,3,53.3333333333333,18,3610.1,5,72.2222222222222,1600,25208.9699999999,2,46.3125,3
6883,racontars,1.08,<re<(conte)>ars>,"(1, 1, 1)",434,6595.02,2,53.6866359447004,5,268.43,5,80,1,1.08,3,0,3
7053,réabonnement,0.03,<re<(abonner)>ment>,"(1, 1, 1)",434,6595.02,2,86.1751152073732,3,4.24,7,66.6666666666666,919,5042.80999999999,4,86.7247007616974,3
7054,réacteur,5.24,<re<(acte)>eur>,"(1, 1, 1)",434,6595.02,2,25.3456221198156,23,301.26,4,34.7826086956521,501,2127.06,3,14.5708582834331,3
7056,réaction,26.4,<re<(acte)>ion>,"(1, 1, 1)",434,6595.02,2,8.98617511520737,23,301.26,4,13.0434782608695,766,3498.54,3,2.48041775456919,3
7066,réamorçage,0.01,<re<(amorce)>age>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,5,3.97999999999999,6,80,201,707.48,3,85.0746268656716,3
7067,réanimation,2.16,<re<(animer)>ion>,"(1, 1, 1)",434,6595.02,2,39.4009216589861,6,20.1199999999999,6,16.6666666666666,766,3498.54,3,39.2950391644908,3
7076,reboisement,0.1,<re<(boire)>ment>,"(1, 1, 1)",434,6595.02,2,80.6451612903225,17,647.84,5,88.235294117647,919,5042.80999999999,4,79.8694232861806,3
7130,réclamation,2.15,<re<(clamer)>ion>,"(1, 1, 1)",434,6595.02,2,39.6313364055299,12,34.87,6,25,766,3498.54,3,39.4255874673629,3
7134,recodage,0.01,<re<(code)>age>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,7,57.79,4,71.4285714285714,201,707.48,3,85.0746268656716,3
7143,réconciliation,2.38,<re<(concile)>ion>,"(1, 1, 1)",434,6595.02,2,37.7880184331797,10,10.93,7,10,766,3498.54,3,37.4673629242819,3
7147,reconfiguration,0.02,<re<(configurer)>ion>,"(1, 1, 1)",434,6595.02,2,87.7880184331797,3,1.1,10,66.6666666666666,766,3498.54,3,93.864229765013,3
7149,réconfortante,0.2,<re<(confort)>ant/ent>,"(1, 1, 1)",434,6595.02,2,76.036866359447,9,35.51,7,77.7777777777777,522,3302.43999999999,7,72.6053639846743,3
7151,reconnaissables,0.56,<re<(connaître)>able>,"(1, 1, 1)",434,6595.02,2,64.7465437788018,11,1244.33,9,72.7272727272727,313,1042.69,4,59.4249201277955,3
7155,reconnaissance,15.28,<re<(connaître)>nce>,"(1, 1, 1)",434,6595.02,2,15.2073732718894,11,1244.33,9,45.4545454545454,213,1491.29,3,13.6150234741784,3
7157,reconnaissante,21.52,<re<(connaître)>ant/ent>,"(1, 1, 1)",434,6595.02,2,11.5207373271889,11,1244.33,9,36.3636363636363,522,3302.43999999999,7,5.17241379310344,3
7181,reconstitution,2.12,<re<(constituer)>ion>,"(1, 1, 1)",434,6595.02,2,39.8617511520737,6,21.63,10,50,766,3498.54,3,39.8172323759791,3
