,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
7077,rebondissements,0.22,<re<(bond)>[VB]>>ment>,"(1, 1, 2)",434,6595.02,2,74.8847926267281,5,13.9599999999999,4,60,1600,25208.9699999999,2,68.75,919,5042.80999999999,4,69.6409140369967,4
7335,refroidissement,1.56,<re<(froid)>[VB]>>ment>,"(1, 1, 2)",434,6595.02,2,47.0046082949308,11,194.89,5,45.4545454545454,1600,25208.9699999999,2,44.3125,919,5042.80999999999,4,31.5560391730141,4
7374,réhabilitation,1.55,<re<(habile)>ité>>ion>,"(1, 1, 2)",434,6595.02,2,47.4654377880184,6,11.0199999999999,6,33.3333333333333,334,1491.88,3,38.3233532934131,766,3498.54,3,48.1723237597911,4
7769,resplendissante,1.12,<re<(splend)>[VB]>>ant/ent>,"(1, 1, 2)",434,6595.02,2,53.4562211981566,4,24.09,6,75,1600,25208.9699999999,2,49.5,522,3302.43999999999,7,44.0613026819923,4
9400,subordination,0.01,<sub<(ordre)>in[VB]>>ion>,"(1, 1, 2)",5,3.90999999999999,3,60,8,279.32,5,75,6,8.26,5,83.3333333333333,766,3498.54,3,95.1697127937336,4
9557,suractivée,0,<sur<(acte)>if>>[VB]>,"(1, 1, 2)",55,248.22,3,87.2727272727272,23,301.26,4,95.6521739130434,168,409.409999999999,2,92.2619047619047,1600,25208.9699999999,2,91.125,4
9685,sympathisants,0.54,<syn<(pathe/ie)>is[VB]>>ant/ent>,"(1, 1, 2)",8,28.31,3,75,13,52.9799999999999,8,92.3076923076923,126,424.71,5,36.5079365079365,522,3302.43999999999,7,58.4291187739463,4
10624,unidirectionnelle,0.02,<uni<(diriger)>ion>>el>,"(1, 1, 2)",3,6.45,3,66.6666666666666,10,197.22,7,90,766,3498.54,3,93.864229765013,153,1103.39999999999,2,87.5816993464052,4
11506,aboutissement,0.5,<a<(bout)>[VB]>>ment>,"(1, 1, 2)",271,2142.22,1,63.8376383763837,5,137.63,4,60,1600,25208.9699999999,2,61.25,919,5042.80999999999,4,55.6039173014145,4
11532,abrutissement,0.13,<a<(brut)>[VB]>>ment>,"(1, 1, 2)",271,2142.22,1,81.9188191881918,8,67.24,4,75,1600,25208.9699999999,2,73.375,919,5042.80999999999,4,76.6050054406964,4
11688,accordéoniste,0.26,<a<(corde)>éon>>iste>,"(1, 1, 2)",271,2142.22,1,74.5387453874538,13,100.49,5,46.1538461538461,2,3.28,3,50,119,322.749999999999,4,56.3025210084033,4
12062,affaiblissement,0.23,<a<(faible)>[VB]>>ment>,"(1, 1, 2)",271,2142.22,1,76.3837638376383,7,73.08,6,71.4285714285714,1600,25208.9699999999,2,68.25,919,5042.80999999999,4,68.879216539717,4
12293,agrandissement,0.68,<a<(grand)>[VB]>>ment>,"(1, 1, 2)",271,2142.22,1,57.5645756457564,9,822.46,5,77.7777777777777,1600,25208.9699999999,2,56.9999999999999,919,5042.80999999999,4,48.4221980413492,4
12631,alunissages,0.01,<a<(lune)>[VB]>>age>,"(1, 1, 2)",271,2142.22,1,92.9889298892988,4,66.21,4,75,1600,25208.9699999999,2,86.3125,201,707.48,3,85.0746268656716,4
12716,amincissante,0.04,<a<(mince)>[VB]>>ant/ent>,"(1, 1, 2)",271,2142.22,1,89.6678966789667,4,31.34,5,75,1600,25208.9699999999,2,79.8125,522,3302.43999999999,7,85.4406130268199,4
12814,anéantissement,0.62,<a<(néant)>[VB]>>ment>,"(1, 1, 2)",271,2142.22,1,59.4095940959409,4,22.98,5,75,1600,25208.9699999999,2,58.25,919,5042.80999999999,4,49.9455930359086,4
12904,anormalement,1.08,<a<(norme)>al>>ment>,"(1, 1, 2)",271,2142.22,1,46.1254612546125,6,172.03,5,66.6666666666666,200,1125.04,2,48.5,919,5042.80999999999,4,40.0435255712731,4
12978,apesanteur,0.93,<a<(peser)>ant/ent>>eur>,"(1, 1, 2)",271,2142.22,1,49.8154981549815,7,27.17,5,42.8571428571428,522,3302.43999999999,7,48.8505747126436,501,2127.06,3,50.6986027944111,4
13015,apparemment,43.08,<a<(paraître)>ant/ent>>ment>,"(1, 1, 2)",271,2142.22,1,4.0590405904059,15,191.39,8,6.66666666666666,522,3302.43999999999,7,3.25670498084291,919,5042.80999999999,4,2.06746463547334,4
13068,appesantie,0,<a<(peser)>ant/ent>>[VB]>,"(1, 1, 2)",271,2142.22,1,95.2029520295202,7,27.17,5,71.4285714285714,522,3302.43999999999,7,93.2950191570881,1600,25208.9699999999,2,91.125,4
13232,approximativement,1.64,<a<(proxim)>if>>ment>,"(1, 1, 2)",271,2142.22,1,37.6383763837638,3,6.51,6,33.3333333333333,168,409.409999999999,2,33.9285714285714,919,5042.80999999999,4,30.467899891186,4
13445,arrondissement,0.95,<a<(rond)>[VB]>>ment>,"(1, 1, 2)",271,2142.22,1,48.7084870848708,8,44.65,4,37.5,1600,25208.9699999999,2,52.6875,919,5042.80999999999,4,43.4167573449401,4
13544,asservissement,0.11,<as<(servir)>[VB]>>ment>,"(1, 1, 2)",26,248.66,2,76.9230769230769,13,549.12,6,69.2307692307692,1600,25208.9699999999,2,74.8125,919,5042.80999999999,4,78.4548422198041,4
13630,assourdissant,0.6,<as<(sourd)>[VB]}>>ant/ent>,"(1, 1, 2)",26,248.66,2,53.8461538461538,8,30.99,5,25,1,0.6,2,0,522,3302.43999999999,7,56.7049808429118,4
13799,attendrissant,0.52,<a<(tendre)>[VB]>>ant/ent>,"(1, 1, 2)",271,2142.22,1,62.730627306273,17,196.97,6,76.4705882352941,1600,25208.9699999999,2,60.5625,522,3302.43999999999,7,59.1954022988505,4
13801,attendrissement,0.1,<a<(tendre)>[VB]>>ment>,"(1, 1, 2)",271,2142.22,1,83.3948339483394,17,196.97,6,88.235294117647,1600,25208.9699999999,2,75.25,919,5042.80999999999,4,79.8694232861806,4
13836,atterrissage,9.06,<a<(terre)>[VB]>>age>,"(1, 1, 2)",271,2142.22,1,14.0221402214022,19,522.31,5,31.578947368421,1600,25208.9699999999,2,19.4375,201,707.48,3,8.45771144278607,4
14073,avilissants,0.03,<a<(vil)>[VB]>>ant/ent>,"(1, 1, 2)",271,2142.22,1,91.1439114391143,4,28.86,3,75,1600,25208.9699999999,2,81.625,522,3302.43999999999,7,87.7394636015325,4
16704,compartimenté,0.02,<com<(partir)>ment>>[VB]>,"(1, 1, 2)",14,28.22,3,78.5714285714285,15,1760.78999999999,6,86.6666666666666,919,5042.80999999999,4,88.683351468988,1600,25208.9699999999,2,83.4375,4
16720,complaisamment,0.01,<com<(plaire)>ant/ent>>ment>,"(1, 1, 2)",14,28.22,3,85.7142857142857,8,513.47,6,87.5,522,3302.43999999999,7,90.9961685823754,919,5042.80999999999,4,90.0979325353645,4
