,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,PREF_2_FamSize,PREF_2_Freq,PREF_2_Length,PREF_2_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,n_morphemes
217,alentours,6.39999999999999,<a<<en<(tour),"(2, 1, 0)",271,2142.22,1,17.7121771217712,218,2094.69,2,19.2660550458715,31,1014.31,4,32.258064516129,3
6851,rabat,2.59,<re<<a<(battre),"(2, 1, 0)",434,6595.02,2,36.1751152073732,271,2142.22,1,28.4132841328413,12,253.13,6,58.3333333333333,3
7068,réapparaissait,0.88,<re<<a<(paraître),"(2, 1, 0)",434,6595.02,2,57.8341013824884,271,2142.22,1,52.3985239852398,15,191.39,8,73.3333333333333,3
7069,réapparaît,2.09999999999999,<re<<a<(parer),"(2, 1, 0)",434,6595.02,2,40.3225806451612,271,2142.22,1,33.9483394833948,13,316.24,5,30.7692307692307,3
7243,redécouvrir,0.29,<re<<dé<(couvrir),"(2, 1, 0)",434,6595.02,2,70.73732718894,422,1752.69,2,61.8483412322274,4,178.53,7,75,3
7513,rendorme,4.38,<re<<en<(dormir),"(2, 1, 0)",434,6595.02,2,29.0322580645161,218,2094.69,2,24.3119266055045,7,462.52,6,57.1428571428571,3
7541,renfort,21.41,<re<<en<(fort),"(2, 1, 0)",434,6595.02,2,11.7511520737327,218,2094.69,2,10.091743119266,9,317.229999999999,4,11.1111111111111,3
9569,surenchère,0.65,<sur<<en<(cher),"(2, 1, 0)",55,248.22,3,49.090909090909,218,2094.69,2,55.045871559633,3,274.41,4,66.6666666666666,3
19638,désagrège,0.55,<dé<<a<(grèg),"(2, 1, 0)",422,1752.69,2,52.8436018957345,271,2142.22,1,61.9926199261992,6,3.19,4,33.3333333333333,3
22507,entraperçu,0.05,<entre<<a<(perçu),"(2, 1, 0)",29,18.95,5,62.0689655172413,271,2142.22,1,88.560885608856,3,4.69999999999999,5,66.6666666666666,3
26556,imprévu,5.66,<in<<pré<(vue),"(2, 1, 0)",427,1478.96,2,9.36768149882904,49,209.31,3,16.3265306122449,6,1334,3,66.6666666666666,3
26618,inaperçu,3.15,<in<<a<(perçu),"(2, 1, 0)",427,1478.96,2,20.1405152224824,271,2142.22,1,25.0922509225092,3,4.69999999999999,5,0,3
27091,ininterrompu,0.61,<in<<inter<(rompre),"(2, 1, 0)",427,1478.96,2,56.4402810304449,24,65.87,5,50,7,85.6,6,85.7142857142857,3
32502,prérentrée,0.01,<pré<<re<(entrer),"(2, 1, 0)",49,209.31,3,81.6326530612244,434,6595.02,2,89.1705069124423,3,1413.27,6,66.6666666666666,3
33159,rabaisser,1.65,<re<<a<(baisser),"(2, 1, 0)",434,6595.02,2,46.0829493087557,271,2142.22,1,37.2693726937269,5,80.7,7,40,3
33309,ralliait,1.3,<re<<a<(lier),"(2, 1, 0)",434,6595.02,2,50.4608294930875,271,2142.22,1,42.0664206642066,12,113.24,4,41.6666666666666,3
33335,ramena,168.97,<re<<a<(mener),"(2, 1, 0)",434,6595.02,2,1.84331797235023,271,2142.22,1,0.3690036900369,8,729.78,5,25,3
33430,rapporta,33.0899999999999,<re<<a<(porter),"(2, 1, 0)",434,6595.02,2,8.29493087557603,271,2142.22,1,6.6420664206642,24,892.509999999999,6,20.8333333333333,3
33435,rapporte,21.03,<re<<a<(porte),"(2, 1, 0)",434,6595.02,2,12.2119815668202,271,2142.22,1,9.22509225092251,13,600.499999999999,5,23.076923076923,3
33613,réarrange,0.06,<re<<a<(ranger),"(2, 1, 0)",434,6595.02,2,83.4101382488479,271,2142.22,1,87.8228782287822,3,182.269999999999,6,66.6666666666666,3
34263,rembourre,0.25,<re<<en<(bourrer),"(2, 1, 0)",434,6595.02,2,73.0414746543778,218,2094.69,2,65.137614678899,6,43.17,7,50,3
34346,remporte,1.93,<re<<en<(porte),"(2, 1, 0)",434,6595.02,2,42.1658986175115,218,2094.69,2,33.9449541284403,13,600.499999999999,5,69.2307692307692,3
34347,remporté,5.39,<re<<en<(porter),"(2, 1, 0)",434,6595.02,2,24.8847926267281,218,2094.69,2,21.5596330275229,24,892.509999999999,6,45.8333333333333,3
34389,renferme,3.53,<re<<en<(fermer),"(2, 1, 0)",434,6595.02,2,31.7972350230414,218,2094.69,2,26.6055045871559,5,253.4,6,80,3
34392,renfoncés,0,<re<<en<(foncé),"(2, 1, 0)",434,6595.02,2,93.5483870967741,218,2094.69,2,90.3669724770642,4,22.33,5,75,3
34472,renversa,25.45,<re<<en<(verser),"(2, 1, 0)",434,6595.02,2,9.67741935483871,218,2094.69,2,7.79816513761468,6,61.37,6,16.6666666666666,3
36388,surélevé,0.12,<sur<<é<(lever),"(2, 1, 0)",55,248.22,3,65.4545454545454,86,320.17,1,75.5813953488372,10,432.67,5,90,3
