,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,PREF_2_FamSize,PREF_2_Freq,PREF_2_Length,PREF_2_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
6436,prédécesseur,2.27,<pré<<dé<(céder)>eur>,"(2, 1, 1)",49,209.31,3,34.6938775510204,422,1752.69,2,26.0663507109004,12,66.31,5,50,501,2127.06,3,30.3393213572854,4
6913,raffinement,0.89,<re<<a<(fin)>ment>,"(2, 1, 1)",434,6595.02,2,57.3732718894009,271,2142.22,1,51.2915129151291,21,1200.89,3,52.3809523809523,919,5042.80999999999,4,44.5048966267682,4
6915,raffinerie,0.73,<re<<a<(fin)>erie>,"(2, 1, 1)",434,6595.02,2,61.0599078341013,271,2142.22,1,56.0885608856088,21,1200.89,3,57.1428571428571,109,267.479999999999,4,52.2935779816513,4
6951,ralliement,1.16,<re<<a<(lier)>ment>,"(2, 1, 1)",434,6595.02,2,52.3041474654377,271,2142.22,1,44.280442804428,12,113.24,4,66.6666666666666,919,5042.80999999999,4,37.8672470076169,4
6953,ramassage,0.9,<re<<a<(masser)>age>,"(2, 1, 1)",434,6595.02,2,56.6820276497695,271,2142.22,1,50.9225092250922,12,89.52,6,58.3333333333333,201,707.48,3,46.2686567164179,4
6954,ramasseur,0.73,<re<<a<(masser)>eur>,"(2, 1, 1)",434,6595.02,2,60.8294930875576,271,2142.22,1,55.7195571955719,12,89.52,6,75,501,2127.06,3,55.4890219560878,4
6956,ramassis,1.5,<re<<a<(masser)>is>,"(2, 1, 1)",434,6595.02,2,48.1566820276497,271,2142.22,1,38.3763837638376,12,89.52,6,41.6666666666666,22,19.93,2,13.6363636363636,4
6981,rapatriement,0.29,<re<<a<(patrie)>ment>,"(2, 1, 1)",434,6595.02,2,70.73732718894,271,2142.22,1,72.6937269372693,7,38.8899999999999,6,85.7142857142857,919,5042.80999999999,4,65.1795429815016,4
6992,rapprochement,1.66,<re<<a<(proche)>ment>,"(2, 1, 1)",434,6595.02,2,45.8525345622119,271,2142.22,1,36.90036900369,6,430.48,6,66.6666666666666,919,5042.80999999999,4,30.1414581066376,4
7003,rassemblement,4.39,<re<<as<(sembler)>ment>,"(2, 1, 1)",434,6595.02,2,28.8018433179723,26,248.66,2,23.076923076923,11,430.199999999999,7,36.3636363636363,919,5042.80999999999,4,15.8868335146898,4
7013,rassurante,0.35,<re<<as<(sûr)>ant/ent>,"(2, 1, 1)",434,6595.02,2,69.5852534562212,26,248.66,2,61.5384615384615,9,1259.95,3,88.8888888888888,522,3302.43999999999,7,64.55938697318,4
7058,réalignement,0.07,<re<<a<(ligne)>ment>,"(2, 1, 1)",434,6595.02,2,82.258064516129,271,2142.22,1,85.6088560885608,7,108.109999999999,5,85.7142857142857,919,5042.80999999999,4,82.6985854189336,4
7071,réapparition,0.16,<re<<a<(paraître)>ion>,"(2, 1, 1)",434,6595.02,2,78.110599078341,271,2142.22,1,80.0738007380073,15,191.39,8,86.6666666666666,766,3498.54,3,86.0313315926893,4
7376,réincarnation,1.68,<re<<in<(carni)>ion>,"(2, 1, 1)",434,6595.02,2,45.3917050691244,427,1478.96,2,33.4894613583138,8,13.1299999999999,5,25,766,3498.54,3,46.0835509138381,4
7440,remboursement,1.89,<re<<en<(bourse)>ment>,"(2, 1, 1)",434,6595.02,2,42.8571428571428,218,2094.69,2,34.8623853211009,4,46.22,6,50,919,5042.80999999999,4,27.4211099020674,4
