,length,family_size,summed_freq
<ab<,2,3,1.44
<a<,1,271,2142.22
<ad<,2,6,28.56
<en<,2,218,2094.69
<ambi<,4,2,0.34
<anté<,4,2,8.42
<co<,2,24,73.72
<com<,3,14,28.22
<con<,3,56,190.18
<dé<,2,422,1752.69
<é<,1,86,320.17
<ex<,2,23,79.38
<in<,2,427,1478.96
<mé<,2,14,36.91
<mi<,2,1,38.47
<ob<,2,2,0.93
<pan<,3,1,3.88999999999999
<pour<,4,6,94.1399999999999
<pré<,3,49,209.31
<pro<,3,15,37.76
<re<,2,434,6595.02
<as<,2,26,248.66
<rétro<,5,5,1.79999999999999
<sau<,3,3,0.04
<sous<,4,15,98.6
<soubre<,6,1,0.53
<sub<,3,5,3.90999999999999
<sur<,3,55,248.22
<sus<,3,2,20.1599999999999
<syn<,3,8,28.31
<trans<,5,26,105.41
<tri<,3,11,12.7399999999999
<ultra<,5,2,0.03
<uni<,3,3,6.45
<ver<,3,3,0.98
<vi<,2,1,0.41
<ana<,3,2,1.48
<anti<,4,18,9.51
<apo<,3,1,0.17
<arch<,4,3,4.60999999999999
<archi<,5,1,0.36
<au<,2,1,87.29
<bi<,2,9,13.32
<bis<,3,1,0.03
<contre<,6,20,19.71
<dia<,3,4,19.02
<dys<,3,2,0.86
<entre<,5,29,18.95
<épi<,3,3,1.27
<eu<,2,1,1.11
<extra<,5,4,30.27
<hémi<,4,3,1
<hyper<,5,3,1.93
<hypo<,4,3,10.42
<infra<,5,2,2.06
<inter<,5,24,65.87
<juxta<,5,2,0.03
<mono<,4,14,6.88
<par<,3,6,44.24
<para<,4,7,17.47
<pén<,3,3,2.1
<per<,3,5,1.01
<péri<,4,1,6.71
<post<,4,1,0.81
<sé<,2,1,1.22
<super<,5,3,1.7
<su<,2,1,0
<tres<,4,1,0
